,geo,text,name,location,hashtags,source,followers_count,friends_count,created_at,verification_status,entities,sentiment
4481,, ‼️37-year-old #Ohio veteran—who posted a widely shared anti-#mask screed on Facebook—tested positive for #COVID19 on Jul…,votejenngray,"Irondale, AL","['Ohio', 'mask', 'COVID19']",Twitter Web App,1851,1226,2020-07-12 16:58:46,False,"[('Ohio', 'GPE'), ('Facebook', 'ORG'), ('Jul', 'ORG')]","{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.7184}"
4482,,"... is a desperate gamble to keep Trump out of prison, that is.#TrumpVirus#coronavirus#COVID#25thAmendment ",PayAttention2D,"North Carolina, USA","['TrumpVirus', 'coronavirus', 'COVID', '25thAmendment']",Twitter for iPhone,4392,5001,2020-07-12 16:58:45,False,[],"{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.6808}"
4483,," You should wear a face covering in situations where it is difficult to stay 2 metres apart from others, for example, in shops…",delanyspharmacy,,[],Twitter for iPhone,44,322,2020-07-12 16:58:45,False,"[('2 metres', 'QUANTITY')]","{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.3612}"
4484,, Now #Bhakts and #SalmanKhan haters will say that Salman khan yesterday uploaded such a Hot 🔥picture of his on social m…,navbeinghuman,,"['Bhakts', 'SalmanKhan']",Twitter for Android,355,439,2020-07-12 16:58:45,False,"[('Bhakts', 'PERSON'), '', ('SalmanKhan', 'GPE'), ('Salman khan', 'PERSON'), ('yesterday', 'DATE')]","{'neg': 0.144, 'neu': 0.856, 'pos': 0.0, 'compound': -0.4939}"
4485,," What a topsy turvy world folks. We used to take dying children to Disney World, today we take healthy children to Disney Worl…",DrunkyJewster,Streets Of Your Town,[],TweetDeck,236,580,2020-07-12 16:58:44,False,"[('Disney World', 'ORG'), ('today', 'DATE'), ('Disney Worl', 'PERSON')]","{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.4019}"
4486,,Bismillah! Long live Cricket 🏏#coronavirus #Cricket #TestCricket #ENGvsWI ,haiders46,"Karachi, Pakistan","['coronavirus', 'Cricket', 'TestCricket', 'ENGvsWI']",Twitter for Android,43,304,2020-07-12 16:58:44,False,"[('Cricket', 'LOC'), '', ('Cricket', 'ORG'), ('TestCricket', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4487,,It can be used against as a political weapon. #coronavirus,thaddeus2231,,['coronavirus'],Twitter for iPhone,143,210,2020-07-12 16:58:43,False,[''],"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}"
4488,," Not once, did she offer an idea to keep my baby safe. This is real and is NOT political.  You re attacking mine personally. AN…",KevinWrightKrw,"Missouri City, TX",[],Twitter for Android,295,1722,2020-07-12 16:58:43,False,[],"{'neg': 0.104, 'neu': 0.796, 'pos': 0.1, 'compound': -0.0258}"
4489,," . is releasing 8,000 inmates due to #coronavirus fears! 🤬 I’m fed up with his “leadership.” I’m seriously cons…",PaulS1717,United States,['coronavirus'],Twitter for Android,182,513,2020-07-12 16:58:43,False,"[('8,000', 'CARDINAL'), '']","{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.5848}"
4490,, Way to go OhioIt’s a thing of beauty 👏🏻👏🏻👏🏻👏🏻🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸#Trump2020 #KAG2020 #SaturdayThoughts #Ccot#CNNSOTU #MediaBu…,ChrisWh12295526,,"['Trump2020', 'KAG2020', 'SaturdayThoughts', 'Ccot', 'CNNSOTU']",Twitter for Android,207,344,2020-07-12 16:58:42,False,"[('OhioIt', 'CARDINAL'), ('🏻', 'PRODUCT'), ('🏻', 'PRODUCT'), ('🏻', 'PRODUCT'), ('🏻', 'MONEY'), ('🇸', 'ORG'), ('🇸', 'GPE'), ('🇸', 'GPE'), ('🇸', 'GPE'), ('🇸', 'GPE'), ('🇸', 'GPE'), ('🇸', 'GPE'), ('🇸', 'GPE'), '', ('SaturdayThoughts', 'ORG'), '']","{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5859}"
4491,,"In  on July12 : w4 #CovidDeaths , 487 #COVID critical, 621 new #COVID patients, 486 cured and discharged #COVID__19 #Pune #PuneFightsCovid19 #coronavirus ",ajay_khape,Pune,"['CovidDeaths', 'COVID', 'COVID', 'COVID__19', 'Pune', 'PuneFightsCovid19', 'coronavirus']",Twitter for Android,707,426,2020-07-12 16:58:42,False,"[('CovidDeaths', 'ORG'), ('487 #COVID critical', 'MONEY'), ('621', 'CARDINAL'), ('COVID', 'ORG'), ('486', 'CARDINAL')]","{'neg': 0.108, 'neu': 0.892, 'pos': 0.0, 'compound': -0.3182}"
4492,," Florida breaking all #Coronavirus records. I went by the Miami Beach Convention center, where they’re testing 1200 pe…",thenumberofrest,America The Beautiful,['Coronavirus'],Twitter for iPhone,442,1341,2020-07-12 16:58:42,False,"[('Florida', 'GPE'), '', ('Coronavirus', 'ORG'), ('the Miami Beach Convention center', 'ORG'), ('1200', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4493,, ‼️37-year-old #Ohio veteran—who posted a widely shared anti-#mask screed on Facebook—tested positive for #COVID19 on Jul…,mountain_me,Lake Tahoe,"['Ohio', 'mask', 'COVID19']",Twitter for iPhone,1243,547,2020-07-12 16:58:41,False,"[('Ohio', 'GPE'), ('Facebook', 'ORG'), ('Jul', 'ORG')]","{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.7184}"
4494,, A U.S. passport-holder in the time of #coronavirus can travel to almost as few countries as an #Iraq-i passport-holder can…,KatCapps,Western States Pact,"['coronavirus', 'Iraq']",Twitter for iPad,45426,44308,2020-07-12 16:58:41,False,"[('U.S.', 'GPE'), ('Iraq', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4495,, UP govt issues guidelines for university academic session | Check latest dates#uttarpradeshlockdown #UttarPradesh #Covid…,CoronaUpdateBot,,"['uttarpradeshlockdown', 'UttarPradesh']",Corona Virus Update Bot,844,3,2020-07-12 16:58:41,False,[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4496,, Shrimp imported from three Ecuadorian companies are being pulled off shelves across China following the detection of the no…,allgringo,Japan,[],Twitter for Android,950,622,2020-07-12 16:58:41,False,"[('three', 'CARDINAL'), ('Ecuadorian', 'NORP'), ('China', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4497,, British holidaymakers travelling to Ireland will continue to be subject to quarantine as the Dublin government seeks to avoid…,timmsbritney,,[],Twitter Web App,75,354,2020-07-12 16:58:39,False,"[('British', 'NORP'), ('Ireland', 'GPE'), ('Dublin', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4498,," . is releasing 8,000 inmates due to #coronavirus fears! 🤬 I’m fed up with his “leadership.” I’m seriously cons…",poeticpotion111,"Chicago, IL",['coronavirus'],Twitter Web App,11628,11910,2020-07-12 16:58:38,False,"[('8,000', 'CARDINAL'), '']","{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.5848}"
4499,, ‼️37-year-old #Ohio veteran—who posted a widely shared anti-#mask screed on Facebook—tested positive for #COVID19 on Jul…,PHF3333,,"['Ohio', 'mask', 'COVID19']",Twitter Web App,233,603,2020-07-12 16:58:37,False,"[('Ohio', 'GPE'), ('Facebook', 'ORG'), ('Jul', 'ORG')]","{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.7184}"
